caption_id,caption,caption_rephrased
457,"An introspective melody featuring the gentle strums of an acoustic guitar, melancholic male and female vocals blend together in a calming and downtempo fashion, creating a mellow atmosphere perfect for reflection.",I'm looking for a song that combines the soothing sounds of acoustic guitar with melancholic male and female vocals to create a calming atmosphere ideal for introspection.
458,"no beats, upbeat, and energizing
Get ready to move your body to the lively and spirited Latin urbano sounds of this groovy dance music hit, featuring vivacious female vocals and a talented rapper, while beautifully melding together the rhythms of hip-hop, rap, and Latin dance music, complete with bright keyboard harmonies, groovy bass lines, and rhythmic patter blended with upbeat drumming, making it the perfect blend of youthful and vibrant, serving as the ultimate remedy for a lackluster day.","I'm looking for music recommendations that are no beats, upbeat, and energizing, with a Latin urbano vibe and a blend of hip-hop, rap, and dance rhythms."
459,"This uptempo electro/techno track features a pulsing synth bass and energetic digital drums, while the crisp synth plucks and raw noise add a futuristic edge to the sound.","""Recommend an uptempo electro/techno track with a pulsing synth bass, energetic digital drums, and crisp synth plucks for a futuristic vibe."""
460,"This hard-hitting hardrock/punkrock track features fierce e-guitars, pounding acoustic drums, and an e-bass that punch through the amateur recording with aggressive energy, while the fast tempo and male voice screaming and laughing give it a rough, chaotic edge.","I'm looking for more music like ""X"" which blends hardrock/punkrock elements with fierce guitars, pounding drums, and aggressive energy."
461,"This powerful yet imperfectly captured opera piece stirs deep emotions with its inspiring and uplifting string ensemble, creating a beautifully distorted recording that perfectly captures the passion and drama of the genre.","""Recommend an opera piece with a powerful and emotive string ensemble, imperfectly captured to convey the drama and passion of the genre."""
462,"This instrumental EDM track features fast tempo and punchy beats accompanied by a youthful dance groove, with a recurring vocal riff throughout the energetic and enthusiastic dance music, wrapped in muted and slightly muffled audio and incoherent lyrics.","I'm looking for an instrumental EDM track with fast tempo, punchy beats, youthful dance groove, and a recurring vocal riff throughout the energetic and enthusiastic dance music."
463,"Get ready to tap your toes and sing along to this country/rock anthem featuring an uptempo beat, irresistible banjo riffs, a bold male voice singing in mid-range, on-point acoustic drums, e-bass, and a foto shot sound that'll transport you to the heart of the countryside!","Recommend a country/rock song with an uptempo beat, banjo riffs, mid-range vocals, acoustic drums and e-bass that evokes the heart of the countryside."
464,"This alternative rock track has a low quality production with camera fast shuttering sound effects that add an edgy feel to the driving electric guitar melody, backed by a low bass guitar and a slap snare, topped off with shimmering hi hats and tinny kick hits, all accompanied by a repetitive synth bells melody.","I'm looking for an alternative rock song with low quality production, fast shuttering sound effects, driving electric guitar, and repetitive synth bell melody."
465,"This pop track featuring acoustic guitar, acoustic drums, e-bass, keys, and even some intriguing machine noises creates an energetic and unique background music for all occasions.","I'm looking for a pop song that combines acoustic guitar, drums, e-bass, keys, and machine noises to create an energetic and unique sound suitable for various settings."
466,"This pop music remix features electronic beats, dance-ready rhythms, and vibrant female and male vocals, intertwined with vocal samples and a funky turntable scratch, all backed by electronic drums, a rich strings sample, and a groovy, hip, and modern vibe.","I'm looking for music recommendations that feature pop music remixes with electronic beats, dance-ready rhythms, vibrant vocals, vocal samples, turntable scratches, and a funky, hip, modern vibe."
467,"This instrumental live performance features a traditional folk sound with a mesmerizing sitar guitar melody, boomy bass, and energetic clapping, accompanied by a noisy, low-quality recording aesthetic.","Recommend the instrumental live performance ""Traditional Folk Sound"" with its mesmerizing sitar guitar melody, boomy bass, and energetic clapping, despite the noisy low-quality recording aesthetic."
468,"This heartfelt and emotional country song features a low quality, noisy acoustic sitar guitar melody accompained by a flat male vocal, creating a raw and authentic experience for listeners.","I'm looking for music recommendations featuring a country song with a low-quality, noisy acoustic sitar guitar melody accompanied by a flat male vocal to create a raw and authentic experience."
469,"Get lost in the hypno-techno beats of this electrifying DJ song, as the falsetto voice cuts through the synth and trance music, while the programmed percussion drives the repetitive melody straight to the dance floor, making for an upbeat and unforgettable experience.","Recommend a DJ song with hypno-techno beats, falsetto voice, synth and trance music, programmed percussion, and a repetitive melody that drives me to the dance floor."
470,"In this mesmerizing track, a haunting and muddy soundscape sets the backdrop for a hypnotic and heartfelt vocal delivery, as a reverberant and intimate female voice weaves a tale of longing and loss, accompanied by a soft arpeggiated piano melody that adds just the right touch of melancholy to the low quality production.","I'm looking for music recommendations with a haunting atmosphere, heartfelt female vocals, and a mix of piano and muddy soundscape elements."
471,"This passionate flamenco song features intricate acoustic guitar melodies, a driving upright/e-bass, lively percussion's, and a medium tempo that sets the perfect mood for dancing.","Recommend a passionate flamenco song with intricate acoustic guitar melodies, driving upright/e-bass, lively percussion, and a medium tempo suitable for dancing."
472,"This progressive rock track features a beautiful acoustic guitar melody, atmospheric pad sounds, a soaring e-guitar solo, precise acoustic drums, funky slap-bass, and a slow to medium tempo that perfectly showcases its intricate instrumental arrangements.","Recommend the progressive rock track with a beautiful acoustic guitar melody, atmospheric pads, soaring e-guitar solo, precise drums, funky slap-bass, and slow-to-medium tempo that showcases intricate instrumental arrangements."
473,"Get ready to rock out with this medium to uptempo song featuring a male voice, e-bass, e-guitar and energetic acoustic drums, all complemented by the groovy addition of a cowbell and mid-range singing.","Recommend a song with a male lead vocalist, prominent e-bass and e-guitar riffs, driving acoustic drums, and occasional cowbell accents, blending medium to uptempo energy with mid-range singing."
474,"A mesmerizing pop ballad with a moderate-tempo, sung by a female voice in a live recording, featuring a synth backing and simple percussion alongside bass and ambient noises, creating a romantic ambiance while incorporating a unique 'wheels on concrete' sound.","I'm looking for a live-recorded pop ballad with a female vocalist, moderate tempo, synth backing, and simple percussion, featuring ambient noises and a unique ""wheels on concrete"" sound that evokes a romantic atmosphere."
475,"Filled with the raw energy of noisy traffic sounds, this electro track features a punchy kick and crispy claps, accompanied by a groovy filter mod synth bass and male vocal chant that come together for an energetic, low quality but groovy listening experience.","I'm looking for music recommendations similar to an electro track featuring a punchy kick, crispy claps, and a groovy filter mod synth bass with male vocal chants that evoke the energy of noisy traffic sounds."
476,"This low quality, acoustic sitar chord progression cover of a rock classic features an inaudible mumbly male vocal that perfectly complements the happy, fun, loud, and noisy atmosphere of the song.",Can you recommend a music track with a similar vibe to a rock classic reimagined on low-quality acoustic sitar with an inaudible mumbly male vocal that creates a happy and fun atmosphere?
477,"This track boasts a raw and gritty vibe with its low quality production, fiery latin rhythm, and booming male voices, making for an overwhelming yet electrifying noise.","Recommend me more tracks that combine raw energy with gritty production, Latin rhythms, and powerful male vocals, like this overwhelming yet electrifying noise."
478,"This low quality electro tune boasts a punchy 4 on the floor kick, groovy bass, and shimmering hi hats, accompanied by a DJ scratching sound effect, synth keys melody, and flat male vocal, all tied together with an energetic punchy snare and crashing cymbals, creating an overall muddy and messy yet energetically infectious vibe.","I'm looking for a music recommendation that features a punchy 4-on-the-floor kick, groovy bassline, shimmering hi hats, DJ scratching sound effect, synth keys melody, flat male vocals, energetic snare hits, and crashing cymbals, with an overall muddy and messy yet infectious vibe."
479,"This instrumental track is a fast-paced fusion of heavy metal and hard rock, driven by the electrifying sound of amplified electric guitars and external amplification, making it a loud, powerful and youthful experience, complete with the lead guitars and stringed instruments that characterize the minimalist approach to heavy metal and rock.","Recommend an instrumental track that combines heavy metal and hard rock elements, featuring fast-paced amplified electric guitars and external amplification for a loud and youthful experience."
480,"This pop song features a blend of digital drums, smooth bass, cinematic digital strings and brass, a playful flute sound, and a female voice singing with a medium tempo beat.","I'm looking for a song that combines digital drums, smooth bass, cinematic strings and brass, a playful flute sound, and features a female vocalist with a medium tempo beat."
483,"This instrumental electronic dance music track features breakbeat drums, electronic drums, a driving synth bass, soaring strings and atmospheric pads, delivering a perfect blend of urban and hip sounds that are guaranteed to make you dance.","I'm looking for an instrumental electronic dance music track with breakbeat drums, synth bass, soaring strings, and atmospheric pads that combines urban and hip sounds to get me dancing."
484,This pop-ballad features an acoustic piano as the main instrument with a female voice singing a romantic melody set to a slower tempo.,"""Recommend a pop ballad featuring acoustic piano as the primary instrument and a slow tempo with a romantic melody sung by a female vocalist."""
485,"This energetic track features a blend of futuristic electronic sounds, punctuated by creative sound effects and driven by a powerful synth bass.",Can you recommend an upbeat electronic track with a unique blend of futuristic sounds and a prominent synth bass?
486,"This energetic track features a vibrant brass section, jazzy saxophone solos, and driving rhythm from the acoustic drums and hi-hat cymbal, all to create an animation theme that captures the sneaky and clever essence of intrigue.",I'm looking for a song that combines bright brass instrumentation with jazzy saxophone solos and driving rhythms to evoke an animation theme capturing sly and cunning energy.
487,"This instrumental song features a unique blend of game sounds, the sound of turning pages, percussion, and synth sounds, creating a dynamic and engaging listening experience with no vocals.","I'm looking for instrumental songs that combine game sounds, page turns, percussion, and synths without vocals."
488,"This R&B/neo-soul track features silky male vocals, gorgeously melodic singing, and a dynamic interplay between keyboard and synth, backed by a mellow bassline and electronic drums, with intimate harmonica flourishes adding a seductive energy to the danceable beat.","I'm looking for music recommendations that feature silky male vocals, gorgeous melodic singing, and dynamic keyboard/synth interplay with mellow bassline and electronic drums, plus intimate harmonica flourishes adding seductive energy to the danceable beat."
489,"Get ready for a nostalgic trip down memory lane with this low quality, mono cover of a classic kids song, featuring sweet girl vocals and a lively acoustic rhythm guitar, all wrapped up in a noisy, fun, and happy package.","Recommend a low-quality, mono cover of a classic kids song with sweet girl vocals and lively acoustic rhythm guitar for a nostalgic trip down memory lane."
490,"An experimental piece featuring animated sounds, vocalisations and a cacophony of annoying noises, including kissing sounds, evil laughs and the sound of loud chewing and smacking lips, all set to a backdrop of a loud drum roll, straining grunts, and the occasional loud thud and booming metal sounds.","I'm looking for an experimental music piece that incorporates unusual sounds like kissing, laughing, chewing, and smacking lips set to a backdrop of drums, grunts, and metal noises."
491,"An explosive blend of electronica and hip-hop, featuring a driving beat of electronic drums, punchy clap sounds, and a male vocoder that raps over an infectious mix of melodic keyboard and synth hooks, punctuated by energetic shouts and loud vocal samples.","I'm looking for music with a similar sound to an explosive blend of electronica and hip-hop, featuring electronic drums, clap sounds, vocoder rap, melodic keyboard hooks, and energetic shouts."
492,"This high-energy, medium to uptempo salsa track features lively trumpets, pulsing cowbell and percussions, the tropical tones of a steeldrum, and a dynamic interplay between a pulsing piano and swirling organ while being grounded by a grooving e-bass.","Recommend a high-energy salsa track with lively trumpets, pulsing cowbell and percussion, tropical steeldrum tones, dynamic piano/organ interplay, and grooving e-bass."
493,"This country song features a soothing female vocal and melodic singing, backed by the twang of an electric guitar and the sweet sound of a fiddle, anchored by the steady rhythm of a bass guitar and acoustic drums, with a simple tune and normal tempo that bring an easygoing vibe.","Recommend a country song featuring soothing female vocals, melodic singing, twangy electric guitar, fiddle, and acoustic drums for a relaxing and easy-going vibe."
494,"This soft pop ballad is the perfect mellow soundtrack for wistful reflection, featuring a female singer's powerful vocals, a slow tempo, a mellow electric guitar, and subtle basslines, while building up with a soft lilting flute and keyboard accompaniment that seamlessly mesh together to create a song that is both soothing and emotional, leaving the listener feeling sentimental and nostalgic with a hint of melancholy.","I'm looking for music recommendations featuring soft pop ballads with powerful female vocals, slow tempo, mellow electric guitar, and subtle basslines that build up with flute and keyboard accompaniment to evoke wistful reflection."
495,"This instrumental rock track features wide electric guitars chord progressions and a distorted bass guitar, while the shimmering hi hats and uptempo kick pattern give an energetic drive to the punchy snare; the imbalanced and low quality sound creates a muffled yet powerful atmosphere.","I'm looking for instrumental rock tracks with wide electric guitar chord progressions, distorted bass, shimmering hi hats, uptempo kick pattern, and punchy snare, but with a muffled yet powerful atmosphere created by imbalanced and low-quality sound."
496,"Experience the tranquil ambiance of nature with this instrumental solo piece featuring a soothing flute and delightful chirping birds accompanied by gentle wind and percussion, resulting in a truly calming and relaxing composition.","Recommend an instrumental solo piece featuring a soothing flute, birdsong, gentle wind, and percussion for a truly calming and relaxing listening experience."
497,"Experience the thrill of adventure sports with the passionate and exciting instrumental music featuring silastic rock guitar lead, steady rock drumming, percussive bass line, and keyboard harmony alongside authentic roller skating wheel sounds and ambient street noises captured in poor audio quality, reminiscent of a classic rock documentary soundtrack - perfect for a skating home video or workout playlist on YouTube.","I'm looking for instrumental music with a passionate rock guitar lead, steady drumming, and percussive bass line, featuring authentic roller skating wheel sounds and ambient street noises reminiscent of classic rock documentary soundtracks."
499,"This uptempo oriental-inspired song features a blend of string instrument and keyboard stringsound, accompanied by tabla and percussion, though hindered by a very poor recording quality.","I'd love to hear more music with an oriental-inspired sound like this uptempo track that combines string instruments and keyboards with tabla and percussion, despite the poor recording quality."
500,"This uptempo song features an amateur recording of an acoustic guitar, played with fingerstyle technique.",Recommend an upbeat song featuring an amateur-recorded acoustic guitar played with fingerstyle technique.
502,"Get ready to be transported to another world with this epic alternative/indie track featuring a low quality edge, an energetic mix of a choir, groovy bass, and an electrifying combination of punchy snare, punchy kick, and energetic cymbals, all layered with an emotional strings section melody that will leave you feeling moved and uplifted.","Recommend a song that combines a low-quality edge with a choir, groovy bass, punchy snare and kick, energetic cymbals, and an emotional strings section melody to transport me to another world and leave me feeling moved and uplifted."
503,"This pop song is an acoustic guitar-driven masterpiece featuring intricate fingerstyle playing, beautiful harmonics, a moderate tempo, and no percussion or other instruments - creating an enchanting and easy listening, utterly relaxing experience free from any vocals.","I'm looking for a pop song that features intricate acoustic guitar fingerstyle playing, harmonics, and no percussion or other instruments, with a moderate tempo, to create an enchanting and relaxing listening experience."
504,"This Christian worship music features acoustic guitar strumming coupled with the raspy yet soothing male vocalist singing a simple yet calming song, complemented by the gentle rhythm of the drums and piano chord playing.","I'm looking for Christian worship songs with acoustic guitar and raspy vocals, think Jason Upton style, but with a simpler melody and gentle rhythm like David Crowder Band's ""Here Is Love""."
505,This song creates a calming atmosphere with the soothing sounds of girl voices singing in perfect vocal harmony and the delicate strumming of an acoustic guitar.,I'm looking for songs that feature harmonious female vocals and acoustic guitar playing to create a calming atmosphere.
506,"This live performance of a female quartet at a cabaret exudes a jazzy atmosphere with soulful harmony, featuring alto, soprano, and mezzo voices, even though the audio quality may not be up to mark, the audience can be heard cheering and clapping enthusiastically.","I'm looking for jazz-inspired music with soulful harmonies, specifically a female quartet with alto, soprano, and mezzo voices, featuring live performances with enthusiastic audience feedback."
507,"An electrifying techno track featuring an amateur recording with a dynamic melding of male kids voice and female voice, backed by a pulsating synth sound and digital drums all set to an uptempo beat that will make you dance all night long.","Recommend an electrifying techno track with a dynamic vocal mix of male kids' voice and female vocals, pulsing synth sounds, and driving digital drums set to an uptempo beat that makes you dance all night long."
508,"This generic song features a catchy jingle, intricate string arrangements, rhythmic acoustic guitar and drums, pulsating effects, playful pingpong sounds, escalating tension, and occasional shouts from the crowd.","I'd like to hear a song with a catchy jingle, intricate string arrangements, rhythmic acoustic guitar and drums, pulsating effects, playful pingpong sounds, escalating tension, and occasional shouts from the crowd."
509,"Get ready to tap your feet and celebrate with this energetic world music number, featuring lively singing by a male vocalist over a medium tempo banjo and oud rhythm, supported by enthusiastic tambourine beats and the sound of tapping, all delivered with a spirited and enthusiastic performance in a foreign language, ultimately resulting in a festive and joyous regional folk experience.",Recommend a song that combines lively banjo and oud rhythms with enthusiastic tambourine beats and spirited vocals in a foreign language to create a festive and joyous regional folk experience.
510,"This karaoke track features a heartfelt and emotional performance with mixed harmonized vocals, a quiet instrumental, and a low quality, mono recording that adds a noisy and raw quality to the overall sound.","I'd like a song recommendation featuring a heartfelt performance with harmonized vocals, quiet instrumental backing, and a low-quality, mono recording that adds a noisy, raw quality to the sound."
511,"This electro dub track boasts low quality production and features punchy snares and kicks, DJ scratching, uptempo hi hats, a soft crash cymbal, simple synth bells melody, short bass stabs, and an energetic and groovy vibe come together to create a cool, must-listen song.","Recommend the electro dub track with low quality production, punchy snares and kicks, DJ scratching, uptempo hi hats, soft crash cymbal, simple synth bells melody, short bass stabs, and energetic groovy vibe."
512,"Get ready to laugh along to this instrumental comedy track that incorporates sound effects, keyboard melodies, synth riffs, bass guitar grooves, electronic drums, and even a laughing track that adds to the overall weird and goofy vibe.","Can you recommend an instrumental comedy song that combines sound effects, keyboard melodies, synth riffs, bass guitar grooves, electronic drums, and a laughing track for its unique blend of weirdness and goofiness?"
514,"This upbeat poprock song features e-guitar and e-bass riffs, backed by infectious acoustic drums, synth sounds, and upbeat backing voices, all culminating in a high-energy performance by a talented female teen vocalist, delivering a positive message that will get listeners up and dancing.","I'm looking for an upbeat poprock song with energetic guitar and bass riffs, driving drums, synth sounds, and catchy backing vocals, featuring a talented teenage female vocalist delivering a motivational message that gets people moving."
515,"An atmospherical and meditative slow tempo track filled with ethereal synth pads, punctuated by sudden glass breaking sounds and eerie reverse sounds, wrapped in an amateur recording aesthetic.","""Can you recommend a song that features atmospheric slow tempo, ethereal synths, sudden glass breaking sounds, and eerie reversals, with an amateur recording quality?"""
516,"The instrumental kids show theme is a playful and energetic tune that is sure to delight with its lively combination of keyboard, bass guitar, and acoustic drums, all of which are accented by sound effects that add to the childlike joy of the piece.","I'm looking for music that captures a playful and energetic vibe like the instrumental theme from a kids show, with a lively combination of keyboard, bass guitar, and acoustic drums."
518,"This electronic music track is an atmospheric blend of ambient house, featuring no singer and solely instrumental with a repeating theme driven by synth, electronic drums, percussive elements and an array of sound effects that create an airy, resonating and reverberating sound.","I'd love to hear a music recommendation for an ambient house track with no vocals, driven by synth, electronic drums, and sound effects that creates an airy and reverberating atmosphere."
519,"This funky disco track features a vibrant soulful male vocal, groovy and upbeat rhythms, and bright synths and brass sounding instruments, resulting in a dance-inducing soulful bop that's sure to get you moving.","I'm looking for more tracks like this funky disco song with a soulful male vocal, infectious rhythms, and bright synths and brass, something that will get me dancing and energized."
520,"This track features a haunting, low quality and noisy recording of a distorted male vocal that's heavily processed and echoes in a mono mix.","I'm looking for music with a similar atmosphere to this track, featuring a haunting, distorted male vocal with heavy processing and a mono mix."
522,"Experience the blissful sounds of progressive rock with a gentle and mellow touch, featuring melodic singing by a male vocalist accompanied by emotive and sentimental keyboard and piano melodies.","Recommend me some progressive rock music that features gentle and mellow sounds with melodic singing, emotive keyboards, and sentimental piano melodies."
523,"This live opera performance features a mellow and sustained string melody, a plucked strings melody, and a passionate female vocal that is emotional and powerful, despite the low quality and noisy audio, unbalanced stereo image.","I'm looking for music with a mellow string melody, plucked strings, and a powerful female vocal performance, regardless of sound quality issues."
524,"This stunning compilation of classical opera pieces features the beautiful sound of a full orchestra accompanied by enchanting strings and impeccably high-pitched female vocals, showcasing an incredible vocal range.","I'd like to request a music recommendation featuring classical opera pieces with a full orchestra, enchanting strings, and high-pitched female vocals showcasing impressive vocal range."
525,"This vintage blues song features a passionate male vocal that cuts through the low quality and noisy mono recording, backed by groovy piano chords, smooth bass, and a brass melody that tugs at your nostalgic heartstrings, all while whistling alongside to add an extra element of sentimentality.","""Recommend a vintage blues song with a passionate male vocal, groovy piano chords, smooth bass, and a brass melody that evokes nostalgia, featuring whistling as an added sentimental touch."""
527,"This country/folk/ballad features a gentle slow tempo with the soothing sounds of an acoustic guitar, slide guitar, acoustic drums, and e-bass, creating a peaceful and reflective atmosphere.","Recommend me a country/folk ballad with a gentle slow tempo featuring acoustic guitar, slide guitar, acoustic drums, and e-bass to create a peaceful and reflective atmosphere."
528,"Experience the thrill of wanderlust and adventure as a male singer croons melancholic lyrics over the ambient noises of vehicle driving, jeep stopping, and tarmac sounds, accompanied by a guitar and tambourine percussions, with violins playing sadly in the background, making this song ideal as a travel show soundtrack for exciting journeys.","I'm looking for a song that combines melancholic vocals with ambient sounds of vehicle driving and tarmac noises, accompanied by guitar and tambourine percussions, violins playing sadly in the background, perfect for travel show soundtracks."
529,"This instrumental rock song features pulsating electric guitar feedback and vibrations, building up sonic power to deliver an exciting electric guitar solo that drives the medium tempo track with enthusiasm, energetic riffs and a vibrant sound.","I'm looking for an instrumental rock song featuring pulsating electric guitar feedback and vibrations, building up to a driving solo with enthusiastic riffs and a vibrant sound."
530,"This live performance of a song cover features a male singer, female singer, and backup singers belting out vocal harmony to R&B and soul music with a groovy bass line, steady drumming rhythm, keyboard accompaniment, and guitar rhythm that create an exciting dance groove and rhythm, resulting in people dancing at the dance club despite the poor audio quality, all at a medium tempo that harkens back to Motown.","I'm looking for music with similar qualities as this live performance - R&B/soul vibes, catchy harmonies, and a driving beat that's perfect for dancing at medium tempo."
531,"Get into the festive spirit with a timeless and cheerful Christmas song featuring a male vocalist, lively acoustic guitar, joyful vocalisation, choral harmony, and playful vocal backup, all harmonizing together in a fresh and vivacious minimalist arrangement, brought to life with steady drumming and a warm acoustic sound that spreads the Christmas cheer and delivers a heartwarming Christmas greeting.","I'm looking for a timeless Christmas song featuring a male vocalist, lively acoustic guitar, joyful harmonies, and playful backup vocals in a minimalist arrangement with steady drumming and warm acoustic sound."
532,"This mesmerizing song features authentic Indian/Oriental sounds, including the soothing shrutibox and rhythmic tablas, balanced with subtle background noises, all accompanied by a male voice singing at a slow to medium tempo.",I'm looking for more songs that blend Indian/Oriental instrumentation like shrutibox and tablas with subtle background textures and a male vocalist performing at a slow to medium tempo.
533,Experience the soulful melodies of Kumaoni folk music through the soothing and reflective male vocal accompanied by the mesmerizing sounds of the bina.,Recommend some tracks that feature soulful Kumaoni folk melodies with a focus on the male vocals accompanied by the mesmerizing sounds of the bina.
534,"This song is a low quality, hypnotic, and noisy track that features sustained synth strings, a hollow snare, and low percussive elements, all brought together by a resonating and nostalgic, yet ultimately sentimental mellow synth lead melody.","""Can you recommend a song with sustained synth strings, hollow snare, low percussive elements, and a resonating mellow synth lead melody that captures a nostalgic yet sentimental vibe?"""
535,"In this blues rock instrumental track, the fast tempo and aggressive guitar playing are accentuated by the minimal instruments, featuring only an acoustic guitar with palm muting techniques and no percussion, ultimately creating a raw and powerful sound.","""I'm looking for blues rock instrumental tracks with fast tempo and aggressive guitar playing, featuring only an acoustic guitar with palm muting techniques and no percussion."""
536,"Experience a song that combines elements of soft rock with harmonizing male vocals, sustained organ key chords, shimmering cymbals, groovy piano chords, acoustic rhythm guitar, and groovy bass, creating a passionate and hopeful energy that will resonate in your heart.","Recommend a song with soft rock vibes, harmonizing male vocals, sustained organ chords, shimmering cymbals, groovy piano and bass, creating a passionate and hopeful energy."
538,"This live jazz and reggae concert features an electrifying saxophone, captivating keyboard, soulful electric guitar, groovy bass guitar, and rhythmic acoustic drums to create a chill and relaxing tropical vibe for an unforgettable jam session.","""Recommend live jazz and reggae music with electrifying saxophone, captivating keyboard, soulful electric guitar, groovy bass guitar, and rhythmic acoustic drums to create a chill tropical vibe for an unforgettable jam session."""
539,"Get ready to move with the high-energy track featuring fast-paced drums, addictive digital bass and a male voice rapping at lightning speed over a fast tempo drum&bass beat.","Recommend a high-energy drum&bass track with fast-paced drums, catchy digital bass, and rapid-fire male rap vocals over a fast tempo beat."
540,"This explosive dubstep-techno fusion live performance features electronic drums, a wide variety of synths, and a strong bass, creating an energetic, loud, and aggressive experience that will leave you breathless.","I'm looking for a music recommendation with a similar high-energy sound to a live dubstep-techno fusion performance featuring electronic drums, varied synths, and strong bass."
541,"Be transported to a child's backyard party with the shimmering shakers, plucked melody and groovy bass that make up this happy and fun tune, featuring the charming cacophony of kids talking - despite the low quality and noisy recording, it's impossible not to smile and dance along.","""Recommend a song that captures the carefree spirit of a childhood backyard party with its lively shakers, catchy melody, and infectious bass, complete with the joyful cacophony of kids chatting in the background."""
542,"This energetic and passionate techno dance music track with a groovy rhythm, instrumental keyboard synth harmony, and strong bass line, features a medium tempo and driving techno drum rhythm, enhanced by hissing tones and poor audio quality, reminiscent of an ad jingle or TV advertisement soundtrack.","I'm looking for a techno dance track with a groovy synth harmony, strong bass line, medium tempo, and driving drum rhythm, similar to an ad jingle with hissing tones and poor audio quality."
543,This amateur recording features the slow and emotive vocals of a male singer accompanied by an oriental-inspired melody played on what sounds like an accordion in the background.,"I'm looking for music with a similar atmosphere and instrumentation, featuring slow and emotive vocals accompanied by oriental-inspired melodies played on accordion-like instruments."
544,"This dreamy track features a lush synth pad, ambient static sounds and ethereal reverb, all beautifully complemented by a filtered male vocal and filtered electronic drum beat, resulting in a mellow yet captivating atmosphere.","Recommend tracks with lush synth pads, ambient static sounds, ethereal reverb, filtered vocals, and filtered drum beats to create a mellow yet captivating atmosphere."
545,"This fast-paced synth pop anthem features an energetic male vocalist delivering aggressive and passionate singing over a cacophony of loud digital drums, synthesizer articulation, and profanity-laden vocal chants, while a youthfully enthusiastic backing vocal group and DJ mixer blend digital music, EDM, drum machine beats, and persuasive synthesizer melodies in an intense and persuasive call to the dance floor.","I'm looking for a synth pop anthem with aggressive vocals, loud digital drums, and a persuasive call to the dance floor."
546,"Step back into a world of nostalgic video game music with this adventurous chiptune track, featuring playful arcade synths and analog-sounding beats that are sure to keep you on your toes with tricky melodies and cute, whimsical tones.","I'm looking for a music track with a chiptune style that features playful arcade synths, analog-sounding beats, and catchy melodies with a nostalgic video game feel."
547,"This classical Indian song featuring a soothing male voice and the serene sounds of the harmonium and sitar, uses vocables instead of lyrics, creating a meditative atmosphere without the need for percussion.","I'm looking for a song that combines soothing vocals with traditional Indian instruments like harmonium and sitar, using vocables instead of lyrics to create a meditative atmosphere without percussion."
548,"Get ready to unwind with this chill and easygoing groove, featuring distorted and harsh yet funky electric guitar chords, a groovy bass and a low quality, mono and noisy electric guitar solo melody that'll take you on a relaxing sonic adventure.","Recommend a song with distorted yet funky electric guitar chords, a groovy bass, and a low-quality, mono, and noisy electric guitar solo that's perfect for unwinding."
549,"This low-quality but delightfully fun song captures a nostalgic and euphoric feeling with its addictive accordion melody, walking double bass, 4 on the floor cowbell, wide shimmering shakers, soft crash cymbals, and wide whistling, all while evoking a happy and sentimental mood with wide crowd cheering.","""Recommend the song that combines an addictive accordion melody, walking double bass, 4 on the floor cowbell, wide shimmering shakers, soft crash cymbals, and whistling to evoke a happy and sentimental mood."""
550,"This pop/electro track is driven by a powerful sub bass and features a beautiful piano melody paired with a catchy synth lead and dreamy synth pad, creating an uptempo and uplifting mood.","Recommend a pop/electro track featuring a powerful sub bass, beautiful piano melody, catchy synth lead, and dreamy synth pads that creates an uptempo and uplifting mood."
551,"An emotional and tense instrumental music piece with a medium tempo, featuring an aggressive and passionate piano accompaniment, pizzicato strings, and growling noises, creating a tense and ambient atmosphere that's perfect for a movie scene or screenplay music, with violins playing and piano bass note played percussively, all intermingled with street noises, bird chirping tones, and coffee cups rattling in the background, making it the perfect showdown music for a duel or intense movie soundtrack.","I'm looking for an instrumental piece with medium tempo featuring aggressive piano, pizzicato strings, and ambient atmosphere, perfect for a movie scene or screenplay music, ideally incorporating violins, percussive piano bass notes, street noises, bird chirping, and coffee cups rattling in the background."
553,"This trap banger features a wide filtered stuttering down sweep sound effect, set atop a hard-hitting 808 bass, shimmering hi hats, punchy snare, and a catchy synth keys melody.","I'm looking for a trap song with a wide filtered stuttering down sweep sound effect, 808 bass, shimmering hi hats, punchy snare, and catchy synth keys melody."
554,"An energetic and suspenseful reggae track with a low quality, mono production featuring a low flat male vocal accompanied by a repetitive synth lead melody, groovy bass, punchy kick, clapping, shimmering hi hats, shimmering open hat, vocal chants, and a voice crack that adds raw emotion to the mix.","I'd love to hear a reggae track with a low-quality, mono production featuring flat vocals, repetitive synth leads, groovy bass, punchy drums, and raw emotional vocal cracks."
555,"This song features an enchanting oriental sound with a mesmerizing flute and strings melody, layered with delightful cymbal rolls and glittery sounds, accompanied by a soothing female voice singing, all combined to create a relaxing vibe despite its amateur recording quality with occasional presence of white noise.","I'm looking for music that combines oriental sounds with mesmerizing flute and strings melodies, featuring a soothing female voice and relaxing vibe despite amateur recording quality."
556,"This melodic and mellow track features a soothing chant, accompanied by calming acoustic guitar and ambient synth, all while being elevated by the gentle and dreamy female voice, making it the perfect soundtrack for your next meditation or relaxation session.","""Recommend a song with a melodic and mellow atmosphere, featuring a soothing chant, acoustic guitar, and ambient synths, elevated by a gentle female voice, perfect for meditation or relaxation."""
